bear,GMT.Date,GMT.Time,Latitude,Longitude
33488,22.08.2016,6:02:00,30.90208,-88.06018
33488,22.08.2016,7:02:00,30.90238,-88.06088
33488,22.08.2016,8:02:00,30.90334,-88.06147
33488,22.08.2016,9:02:00,30.90335,-88.06152
33488,22.08.2016,10:02:00,30.90734,-88.06062
33488,22.08.2016,11:02:00,30.91262,-88.053
33488,22.08.2016,12:02:00,30.9134,-88.05279
33488,22.08.2016,13:02:00,30.9134,-88.05233
33488,22.08.2016,14:02:00,30.91344,-88.0524
33488,22.08.2016,15:02:00,30.91343,-88.05242
33488,22.08.2016,16:02:00,30.9134,-88.05239
33488,22.08.2016,17:02:00,30.91336,-88.05242
33488,22.08.2016,18:02:00,30.91345,-88.05242
33488,22.08.2016,19:02:00,30.91347,-88.05286
33488,22.08.2016,20:02:00,30.91353,-88.0524
33488,22.08.2016,21:02:00,30.91351,-88.05254
33488,22.08.2016,22:02:00,30.91328,-88.05192
33488,23.08.2016,1:00:00,30.91154,-88.0581
33488,23.08.2016,2:00:00,30.91139,-88.05791
33488,23.08.2016,3:00:00,30.91142,-88.05792
33488,23.08.2016,4:00:00,30.90925,-88.05998
33488,23.08.2016,5:00:00,30.90884,-88.06053
33488,23.08.2016,6:00:00,30.90787,-88.0607
33488,23.08.2016,7:00:00,30.90781,-88.06069
33488,23.08.2016,8:00:00,30.90771,-88.0607
33488,23.08.2016,9:00:00,30.90678,-88.05944
33488,23.08.2016,10:00:00,30.90287,-88.05551
33488,23.08.2016,11:00:00,30.90071,-88.05393
33488,23.08.2016,12:00:00,30.89938,-88.05063
33488,23.08.2016,13:00:00,30.89909,-88.04991
33488,23.08.2016,14:00:00,30.89865,-88.04985
33488,23.08.2016,15:00:00,30.89929,-88.04767
33488,23.08.2016,16:00:00,30.89922,-88.04762
33488,23.08.2016,17:00:00,30.90182,-88.04627
33488,23.08.2016,18:00:00,30.9035,-88.04421
33488,23.08.2016,19:00:00,30.9041,-88.04416
33488,23.08.2016,20:00:00,30.90409,-88.04418
33488,23.08.2016,21:00:00,30.90407,-88.04416
33488,23.08.2016,22:00:00,30.90407,-88.04483
33488,24.08.2016,1:22:00,30.90509,-88.04441
33488,24.08.2016,2:22:00,30.90646,-88.04264
33488,24.08.2016,3:22:00,30.90683,-88.04235
33488,24.08.2016,4:22:00,30.90687,-88.04277
33488,24.08.2016,5:22:00,30.90689,-88.04271
33488,24.08.2016,6:22:00,30.90711,-88.04256
33488,24.08.2016,7:22:00,30.90948,-88.04357
33488,24.08.2016,8:22:00,30.90933,-88.04378
33488,24.08.2016,9:22:00,30.90937,-88.04373
33488,24.08.2016,10:22:00,30.91057,-88.04808
33488,24.08.2016,11:22:00,30.91342,-88.05281
33488,24.08.2016,12:22:00,30.91365,-88.05249
33488,24.08.2016,13:22:00,30.91328,-88.05278
33488,24.08.2016,14:22:00,30.91403,-88.05458
33488,24.08.2016,15:22:00,30.914,-88.05458
33488,24.08.2016,16:22:00,30.9139,-88.05457
33488,24.08.2016,17:22:00,30.91409,-88.05443
33488,24.08.2016,18:22:00,30.91399,-88.05453
33488,24.08.2016,19:22:00,30.91407,-88.05447
33488,24.08.2016,20:22:00,30.91403,-88.05448
33488,24.08.2016,21:22:00,30.91404,-88.05454
