bear,year,day,julinaday,GMT.Date,hour,minutes,GMT.Time,Latitude,Longitude
33505,15,304,15304,31.10.2015,17,:01,17:01:00,31.37977,-88.26632
33505,15,304,15304,31.10.2015,18,:02,18:02:00,31.37874,-88.27063
33505,15,304,15304,31.10.2015,19,:01,19:01:00,31.37886,-88.27072
33505,15,304,15304,31.10.2015,20,:01,20:01:00,31.37452,-88.27157
33505,15,304,15304,31.10.2015,21,:00,21:00:00,31.37157,-88.27142
33505,15,304,15304,31.10.2015,22,:02,22:02:00,31.37142,-88.27133
33505,15,304,15304,31.10.2015,23,:00,23:00:00,31.37146,-88.27152
33505,15,305,15305,01.11.2015,1,:02,1:02:00,31.37175,-88.2703
33505,15,305,15305,01.11.2015,3,:00,3:00:00,31.37156,-88.26985
33505,15,305,15305,01.11.2015,4,:00,4:00:00,31.37146,-88.27134
33505,15,305,15305,01.11.2015,5,:00,5:00:00,31.37299,-88.27006
33505,15,305,15305,01.11.2015,8,:02,8:02:00,31.37302,-88.27015
33505,15,305,15305,01.11.2015,9,:02,9:02:00,31.37292,-88.26994
