bear,year,day,juliandate,GMT.Date,hour,minutes,GMT.Time,Latitude,Longitude
33503,15,299,15299,26.10.2015,19,:03,19:03:00,31.42311,-88.2311
33503,15,299,15299,26.10.2015,20,:01,20:01:00,31.41223,-88.21922
33503,15,299,15299,26.10.2015,21,:02,21:02:00,31.39894,-88.22583
33503,15,299,15299,26.10.2015,22,:00,22:00:00,31.399,-88.2259
33503,15,299,15299,26.10.2015,23,:00,23:00:00,31.39879,-88.22601
33503,15,300,15300,27.10.2015,0,:01,0:01:00,31.39929,-88.22618
33503,15,300,15300,27.10.2015,1,:01,1:01:00,31.39887,-88.22583
33503,15,300,15300,27.10.2015,2,:01,2:01:00,31.39891,-88.22583
33503,15,300,15300,27.10.2015,3,:00,3:00:00,31.42582,-88.24372
33503,15,300,15300,27.10.2015,4,:03,4:03:00,31.39935,-88.22662
33503,15,300,15300,27.10.2015,16,:02,16:02:00,31.40052,-88.2359
33503,15,300,15300,27.10.2015,17,:00,17:00:00,31.40149,-88.2331
33503,15,300,15300,27.10.2015,18,:01,18:01:00,31.40039,-88.23557
33503,15,300,15300,27.10.2015,19,:01,19:01:00,31.40048,-88.23558
33503,15,300,15300,27.10.2015,20,:00,20:00:00,31.40034,-88.2408
33503,15,300,15300,27.10.2015,21,:01,21:01:00,31.40045,-88.24036
33503,15,300,15300,27.10.2015,22,:00,22:00:00,31.40037,-88.24015
33503,15,300,15300,27.10.2015,23,:01,23:01:00,31.40031,-88.23979
33503,15,301,15301,28.10.2015,0,:00,0:00:00,31.39924,-88.24372
33503,15,301,15301,28.10.2015,1,:01,1:01:00,31.39733,-88.24593
33503,15,301,15301,28.10.2015,2,:02,2:02:00,31.39765,-88.2451
33503,15,301,15301,28.10.2015,3,:00,3:00:00,31.39783,-88.24513
33503,15,301,15301,28.10.2015,4,:00,4:00:00,31.39934,-88.24349
33503,15,301,15301,28.10.2015,5,:00,5:00:00,31.39947,-88.22639
33503,15,301,15301,28.10.2015,5,:03,5:03:00,31.4006,-88.23846
33503,15,301,15301,28.10.2015,6,:00,6:00:00,31.39952,-88.22644
33503,15,301,15301,28.10.2015,6,:01,6:01:00,31.40011,-88.23554
33503,15,301,15301,28.10.2015,7,:02,7:02:00,31.40011,-88.23569
33503,15,301,15301,28.10.2015,7,:03,7:03:00,31.39951,-88.22643
